Wall time,Step,Value
1599479765.326802,2677342,-2160.10009765625
1599479785.9168499,2684844,240.0
1599479792.76129,2687344,150.0
1599479806.79686,2692356,-69.99999237060547
1599479812.5932338,2694856,40.00000762939453
1599479818.6526,2697357,160.0
1599479824.550279,2699857,170.0
1599479843.20596,2707370,-290.0
1599479895.884168,2727422,-530.2999877929688
1599479902.3903308,2729926,-80.0
1599479908.7601862,2732427,-330.0
1599479921.1388931,2737427,-119.99999237060547
1599479933.7211268,2742429,-1020.0
1599479939.818144,2744936,-490.20001220703125
1599479946.316747,2747446,-99.99999237060547
1599479958.721387,2752457,170.0
1599479971.55081,2757469,10.000004768371582
1599479978.074284,2759972,-710.0
1599479984.261148,2762472,210.0
1599480003.6372511,2770020,-510.3999938964844
1599480010.109312,2772520,120.00000762939453
1599480016.756877,2775048,-1561.4000244140625
1599480049.8217149,2787589,140.0
1599480062.4924679,2792604,70.00000762939453
1599480068.697022,2795104,200.0
1599480080.8799748,2800124,20.0000057220459
1599480087.570752,2802625,200.0
1599480100.139622,2807645,9.900003433227539
1599480137.958539,2822676,-260.0
1599480144.054823,2825180,-70.0
1599480156.6077461,2830182,-120.0
1599480169.459636,2835218,-210.09999084472656
1599480194.329196,2845251,-900.9000244140625
1599480206.901828,2850281,-470.0
1599480219.465573,2855319,-240.39999389648438
1599480232.0611331,2860364,-1590.9000244140625
1599480244.254339,2865378,40.00000762939453
1599480256.597992,2870390,-420.0999755859375
1599480262.790655,2872904,-200.0
1599480269.126647,2875404,-79.99999237060547
1599480275.1668448,2877906,-99.99998474121094
1599480281.4243011,2880406,5.997717380523682e-06
1599480305.9461272,2890450,180.0
1599480319.621619,2895453,50.000003814697266
1599480328.7400079,2899118,-12440.900390625
1599480365.774694,2914131,-99.99998474121094
1599480377.966198,2919165,-80.0
1599480390.204532,2924234,-810.0
1599480396.549973,2926745,-70.0
1599480402.397849,2929248,-300.0
1599480440.8620439,2945019,7.137656211853027e-06
1599480460.564713,2952519,150.0
1599480473.558521,2957519,-170.0
1599480493.314893,2965023,-460.0
1599480512.386165,2972550,-620.5999755859375
1599480518.542488,2975052,130.0
1599480531.018541,2980053,-300.0
1599480537.379869,2982564,-770.7999877929688
1599480543.823319,2985064,-90.0
1599480550.3768861,2987566,-380.29998779296875
1599480562.8721018,2992593,-39.999996185302734
1599480569.2437131,2995103,-340.0
1599480581.783277,3000163,-790.0
1599480588.244815,3002691,-680.0999755859375
1599480594.6684968,3005195,-980.5
1599480613.658049,3012794,-1840.5
1599480619.9348311,3015307,-660.2000122070312
1599480632.9349508,3020308,4.850327968597412e-06
1599480684.0613928,3040696,-260.0
1599480690.192675,3043197,180.0
1599480696.737932,3045697,1.043081283569336e-06
1599480703.222613,3048198,30.0000057220459
1599480721.896061,3055703,-310.0
1599480728.317894,3058203,-330.0
1599480734.421362,3060704,-460.0
1599480753.411152,3068206,-150.0
1599480759.8690088,3070726,-730.0
1599480765.987052,3073226,-660.0
1599480785.060461,3080756,-960.0
1599480863.181215,3111257,-640.0
1599480882.451475,3118759,-330.0
1599480895.3625689,3123774,-1940.0
1599480902.0392342,3126277,-1880.0
1599480914.5723689,3131308,-1270.0
1599480920.653787,3133809,-1450.0
1599480927.0972538,3136316,-1250.0
1599480939.802197,3141327,-129.99998474121094
1599480959.07844,3148940,-2150.5
1599480965.1883368,3151446,-990.0
1599480971.612841,3153974,-1010.0
1599480985.3613582,3159474,-33082.80078125
1599480991.854103,3162005,-1490.300048828125
1599480998.104337,3164508,-520.0
1599481004.509931,3167011,-620.0
1599481011.241279,3169529,-1270.0999755859375
1599481024.8985221,3174558,-2050.199951171875
1599481037.436956,3179577,-900.0
1599481043.999531,3182131,-2160.0
