wall_time,step,value
1604180097.087745,672110,-5021.60009765625
1604180098.883193,672790,-3281.300048828125
1604180100.674974,673571,-4561.60009765625
1604180103.023329,674658,-8432.400390625
1604180107.837151,676824,-19192.400390625
1604180113.1605089,679184,-20101.30078125
1604180116.579752,680764,-13082.2001953125
1604180121.256296,682989,-19442.0
1604180123.518492,683997,-7932.7001953125
1604180124.969344,684657,-3561.800048828125
1604180127.24736,685673,-6301.0
1604180132.569649,688082,-21262.0
1604180134.3041332,688786,-4262.10009765625
1604180136.2917068,689789,-7051.89990234375
1604180141.616152,692210,-20971.599609375
1604180143.350734,692943,-4622.2001953125
1604180145.09703,693681,-3080.699951171875
1604180146.832105,694488,-4911.7998046875
1604180148.28596,695149,-2671.0
1604180150.314898,696007,-6572.7001953125
1604180152.036308,696763,-4141.5
1604180153.484432,697429,-4022.199951171875
1604180155.2343218,698143,-3351.10009765625
1604180156.690772,698790,-2310.800048828125
1604180158.1386418,699434,-3572.0
1604180159.876014,700181,-3941.300048828125
1604180163.261626,701742,-12712.0
1604180165.9022,702868,-8151.7998046875
1604180167.387707,703614,-4211.60009765625
1604180169.7261062,704591,-7082.2001953125
1604180171.463038,705329,-4451.89990234375
1604180173.1563892,706124,-4971.7998046875
1604180180.226356,709258,-30163.599609375
1604180182.805781,710509,-11513.7998046875
1604180184.5353012,711211,-3901.800048828125
1604180185.726837,711787,-1590.5999755859375
1604180187.797697,712624,-3910.5
1604180189.2914839,713301,-4692.7998046875
1604180192.356396,714634,-10011.5
1604180196.039986,716329,-13881.7998046875
1604180197.743989,717183,-7223.5
1604180200.324353,718295,-7190.89990234375
1604180202.6292071,719291,-8203.2001953125
1604180204.0896819,719955,-3431.60009765625
1604180205.536005,720628,-3091.199951171875
1604180207.552553,721465,-7103.60009765625
1604180209.300566,722264,-6483.39990234375
1604180210.758545,722943,-2420.39990234375
1604180213.107272,723890,-6882.10009765625
1604180216.092225,725204,-10302.0
1604180217.868604,726013,-7994.60009765625
1604180220.234028,726991,-6231.2001953125
1604180224.312703,728772,-15592.599609375
1604180226.663863,729831,-6600.89990234375
1604180229.0100238,730839,-7632.5
1604180230.4886222,731476,-2961.5
1604180234.4627352,733239,-14031.2001953125
1604180240.8394969,736193,-26922.19921875
1604180243.6605859,737527,-10722.2998046875
1604180245.655587,738392,-5621.7998046875
1604180249.0646029,739855,-12422.599609375
1604180251.059902,740740,-4550.60009765625
1604180252.799784,741550,-5542.39990234375
1604180254.822201,742404,-4520.89990234375
1604180256.8195488,743313,-5721.5
1604180260.252129,744944,-13722.2001953125
1604180261.9896388,745638,-3631.60009765625
1604180263.702442,746458,-5852.60009765625
