wall_time,step,value,match,infeasible_match,mismatch,notinstock,total_removed
1602341419.654709,826231,-440.0,2500,0,1,68,0
1602341429.471008,829517,-7610.0,2500,0,2,784,0
1602341437.380016,832204,-1620.0,2500,0,1,186,0
1602341445.5248268,834883,-1540.0,2500,0,5,174,0
1602341453.345691,837392,160.0,2500,0,5,4,0
1602341461.02995,840019,-1020.0,2500,0,1,126,0
1602341469.180983,842805,-2730.0,2500,0,3,283,12
1602341476.997621,845473,-1490.0,2500,0,4,164,6
1602341484.6113632,848032,-360.0,2500,0,5,54,2
1602341492.6426828,850773,-2270.0,2500,0,5,236,11
1602341500.604387,853379,-830.0,2500,0,3,103,2
1602341508.281295,856027,-1230.0,2500,0,5,143,0
1602341515.93278,858598,-460.0,2500,0,1,70,0
1602341523.687926,861224,-1020.0,2500,0,4,122,1
1602341532.700198,864162,-4130.0,2500,0,4,434,0
1602341541.3455071,866875,-1980.0999755859375,2500,0,3,210,0
1602341550.103143,869574,-1740.0,2500,0,5,194,0
1602341558.602348,872408,-3090.0,2500,0,1,333,0
1602341566.602443,875028,-950.0,2500,0,2,118,0
1602341574.0828109,877682,-1290.0,2500,0,3,151,0
1602341582.21605,880423,-2160.0,2500,0,3,238,0
1602341589.5372999,882963,-150.0,2500,0,1,39,0
1602341597.3160949,885656,-1680.0,2500,0,1,192,0
1602341604.9055429,888314,-1330.0,2500,0,6,152,0
1602341612.8125172,890956,-1170.0,2500,0,4,138,0
1602341620.319697,893482,-9.999996185302734,2500,0,0,26,0
1602341627.674491,896012,-49.999996185302734,2500,0,4,26,0
1602341634.931241,898577,-400.0,2500,0,4,61,0
1602341641.935013,901091,110.0,2500,0,2,12,0
1602341649.4061491,903655,-390.0,2500,0,3,61,0
1602341657.0135639,906159,210.0,2500,0,1,3,0
1602341664.5878441,908738,-540.0,2500,0,3,76,0
1602341672.431437,911373,-1100.0,2500,0,3,132,0
1602341679.856094,913933,-350.0,2500,0,3,57,0
1602341687.288202,916459,-9.999996185302734,2500,0,0,26,0
1602341696.14687,918999,-150.0,2500,0,2,38,0
1602341706.6150231,921845,-3210.0,2500,0,3,343,0
1602341715.411942,924564,-1940.0,2500,0,1,218,0
1602341723.9461389,927252,-1630.0,2500,0,2,186,0
1602341730.83049,929782,-49.999996185302734,2500,0,4,26,0
1602341738.030682,932451,-1440.0,2500,0,1,168,0
1602341744.966378,934975,10.000003814697266,2500,0,1,23,0
1602341752.6888452,937526,-260.0,2500,0,3,48,0
1602341760.1332648,940031,200.0,2500,0,1,4,0
1602341767.4287071,942586,-300.0,2500,0,1,54,0
1602341775.047879,945327,-2160.0,2500,0,1,240,0
1602341781.933813,947869,-170.0,2500,0,2,40,0
1602341789.799346,950727,-3330.0,2500,0,2,356,0
1602341797.200893,953264,-120.0,2500,0,1,36,0
1602341804.63142,955947,-1580.0,2500,0,3,180,0
1602341811.717723,958505,-330.0,2500,0,2,56,0
1602341818.8972979,961166,-1360.0,2500,0,2,159,0
1602341825.555331,963819,-1280.0,2500,0,2,151,0
1602341832.682105,966571,-2270.0,2500,0,3,249,0
1602341839.591041,969257,-1610.0,2500,0,0,186,0
1602341846.537189,971964,-1820.0,2500,0,1,206,0
1602341853.7787268,974791,-3120.10009765625,2499,1,1,326,0
1602341860.423347,977367,-810.2999877929688,2497,3,1,75,0
1602341866.916252,979910,-180.0,2500,0,1,42,0
1602341873.5278258,982428,40.000003814697266,2500,0,4,14,3
1602341880.76547,985266,-3730.60009765625,2494,6,3,335,0
1602341887.2199209,987793,-19.999996185302734,2500,0,1,26,0
1602341893.4152598,990298,200.0,2500,0,3,2,0
1602341900.273391,992821,20.000003814697266,2500,0,0,23,0
1602341907.237598,995345,10.000003814697266,2500,0,3,21,0
1602341913.590297,997879,-90.0,2500,0,3,31,0
1602341920.1142771,1000383,210.0,2500,0,2,2,0
1602341927.044448,1003103,-2850.89990234375,2491,9,3,217,0
1602341933.842905,1005762,-1840.5,2495,5,0,159,0
1602341951.491827,1008823,-5460.10009765625,2500,0,4,557,0
1602341958.0331259,1011486,-2090.699951171875,2493,7,4,159,1
1602341963.8574872,1013990,210.0,2500,0,0,4,0
1602341970.2235892,1016490,250.0,2500,0,0,0,0
1602341976.449076,1018990,250.0,2500,0,0,0,0
1602341983.064194,1021498,170.0,2500,0,0,8,0
1602341989.406265,1023998,250.0,2500,0,0,0,0
1602342314.869278,1026502,190.0,2500,0,2,2,2
1602342336.160164,1029033,-59.999996185302734,2500,0,0,31,0
1602342356.517237,1031544,140.0,2500,0,2,9,0
1602345562.2593899,1034048,210.0,2500,0,1,3,0
1602345587.086624,1037716,-11730.2998046875,2500,0,0,1168,0
1602349140.965367,1040235,60.000003814697266,2500,0,8,11,0
1602356351.727006,1043048,-2880.0,2500,0,2,311,0
1602356362.369824,1045582,-90.0,2500,0,7,27,0
1602363582.701836,1048311,-2040.0,2500,0,1,228,0
1602363589.537774,1050936,-1000.0,2500,0,1,124,0
1602363596.390831,1053857,-3960.0,2500,0,1,420,0
1602363602.106237,1056358,240.0,2500,0,0,1,0
1602370817.6949692,1059003,-1200.0,2500,0,0,145,0
1602370824.291786,1061714,-1860.0,2500,0,5,206,0
1602370830.248278,1064311,-720.0,2500,0,2,95,0
1602370836.190515,1066815,210.0,2500,0,1,3,0
1602370842.153126,1069415,-750.0,2500,0,1,99,0
1602370848.201771,1071986,-460.0,2500,0,1,70,0
1602378060.769382,1074575,-640.0,2500,0,1,88,0
1602378066.752814,1077124,-240.0,2500,0,3,46,0
1602378072.466563,1079626,230.0,2500,0,2,0,0
1602385283.912079,1082130,210.0,2500,0,1,3,0
1602385289.582419,1084639,150.0,2500,0,1,8,1
1602385295.5868642,1087163,10.000003814697266,2500,0,3,21,0
1602388830.2326632,1090400,-7820.7001953125,2496,4,2,735,0
1602388836.79745,1093224,-3290.300048828125,2500,0,6,318,0
1602388843.0203001,1095916,-1690.0,2500,0,1,191,2
1602388850.223051,1098932,-5410.5,2499,1,0,516,0
1602388858.009792,1102266,-8800.7001953125,2500,0,18,816,1
1602388864.1418319,1104925,-1440.0999755859375,2500,0,4,155,0
1602388869.703476,1107443,-30.09999656677246,2499,1,1,17,0
1602405909.219177,1109991,-830.5999755859375,2494,6,3,45,0
1602429763.2547042,1112500,160.0,2500,0,1,8,0
1602429769.533001,1115103,-1080.300048828125,2497,3,6,97,0
1602429776.630238,1117717,-2191.300048828125,2487,13,12,102,0
1602429782.93899,1120226,-1041.199951171875,2488,12,2,7,0
1602429792.113238,1122753,-320.29998779296875,2497,3,1,26,0
1602429798.981751,1125254,240.0,2500,0,0,1,0
1602429805.256556,1127755,240.0,2500,0,0,1,0
1602429811.802907,1130259,210.0,2500,0,0,4,0
1602429817.7953238,1132763,210.0,2500,0,0,4,0
1602429824.13954,1135268,200.0,2500,0,0,5,0
1602429830.3638551,1137847,-540.0,2500,0,2,77,0
1602429836.738108,1140364,80.0,2500,0,0,17,0
1602429842.7894819,1142904,-150.0,2500,0,0,40,0
1602429849.130264,1145409,200.0,2500,0,2,3,0
1602429855.3789709,1147955,-210.0,2500,0,2,44,0
1602429861.735848,1150493,-130.0,2500,0,1,37,0
1602429867.835267,1153013,50.000003814697266,2500,0,1,19,0
1602429874.237034,1155515,230.0,2500,0,2,0,0
1602429880.721331,1158016,240.0,2500,0,1,0,0
1602429887.11135,1160585,-440.0,2500,0,12,57,0
1602429893.181616,1163085,250.0,2500,0,0,0,0
1602429899.4786408,1165673,-800.0,2500,0,3,85,17
1602429905.785567,1168194,40.000003814697266,2500,0,1,20,0
1602429912.153356,1170696,230.0,2500,0,2,0,0
1602429918.361429,1173196,180.0,2500,0,0,0,7
1602429924.781312,1175700,210.0,2500,0,4,0,0
1602429930.772473,1178239,-180.0,2500,0,2,37,4
1602429937.007048,1180742,220.0,2500,0,2,1,0
1602429943.477843,1183250,50.00000762939453,2500,0,1,7,12
1602429951.435551,1186325,-5540.0,2500,0,0,575,4
1602429957.814556,1188941,-930.0,2500,0,3,113,2
1602429964.281686,1191501,-350.0,2500,0,4,56,0
1602429971.051189,1194116,-900.0,2500,0,0,115,0
1602429977.615982,1196831,-1900.0,2500,0,0,215,0
1602429983.668128,1199355,10.000003814697266,2500,0,1,23,0
1602429989.9996538,1201860,200.0,2500,0,1,4,0
1602429996.326607,1204369,160.0,2500,0,0,9,0
1602430002.668067,1206919,-250.0,2500,0,0,50,0
1602430009.18047,1209508,-660.0,2500,0,0,89,2
1602430015.8026502,1212062,-570.2000122070312,2498,2,2,52,8
1602430022.158707,1214641,-680.0,2500,0,2,77,14
1602430028.606433,1217295,-1320.0,2500,0,0,154,3
1602430035.867321,1220152,-3340.0,2500,0,1,356,2
1602430043.308863,1222744,-670.0,2500,0,1,91,0
1602430049.992615,1225284,-150.0,2500,0,1,39,0
1602430056.696285,1227906,-1370.4000244140625,2496,4,1,121,0
1602430062.797239,1230447,-160.0,2500,0,2,39,0
1602430069.70483,1233002,-300.0,2500,0,1,54,0
1602430077.06654,1235616,-890.0,2500,0,2,112,0
1602430083.8458612,1238267,-1260.0,2500,0,0,151,0
1602430091.27872,1241003,-2310.199951171875,2498,2,2,234,0
1602430098.263335,1243661,-1330.0,2500,0,1,157,0
1602430104.684403,1246225,-390.0,2500,0,0,64,0
1602430111.405312,1248907,-1770.199951171875,2498,2,3,179,0
1602430117.862494,1251436,-39.999996185302734,2500,0,1,28,0
1602430124.487387,1253976,-150.0,2500,0,2,38,0
1602430130.961884,1256549,-480.0,2500,0,2,71,0
1602430138.093743,1259291,-2170.0,2500,0,0,242,0
1602430144.815726,1261850,-2542.199951171875,2478,22,2,57,0
1602430150.978792,1264365,-200.3000030517578,2497,3,1,14,0
1602430157.85945,1266883,-130.1999969482422,2498,2,1,17,0
1602430164.6335201,1269435,-1471.199951171875,2488,12,2,50,0
1602430171.084009,1271944,160.0,2500,0,2,7,0
1602430177.219572,1274463,-250.3000030517578,2497,3,1,18,1
1602430184.199622,1277057,-1590.9000244140625,2491,9,0,94,0
1602430190.489938,1279558,240.0,2500,0,0,1,0
1602430197.117785,1282063,190.0,2500,0,1,4,1
1602430204.829969,1284624,-360.0,2500,0,3,58,0
1602430212.00172,1287183,-840.5,2495,5,0,59,0
1602430218.984746,1289822,-1440.300048828125,2497,3,6,133,0
1602430225.754121,1292323,240.0,2500,0,1,0,0
1602430232.178826,1294831,160.0,2500,0,3,5,1
1602430238.8498619,1297336,200.0,2500,0,1,4,0
1602430245.876863,1300035,-1740.0,2500,0,0,199,0
1602430252.4814012,1302545,150.0,2500,0,1,9,0
1602430259.230922,1305201,-1350.0,2500,0,1,155,4
1602430265.836582,1307747,-210.0,2500,0,0,46,0
1602430272.4781811,1310250,210.0,2500,0,0,3,1
1602430279.3328588,1312798,-230.0,2500,0,1,47,0
1602430285.716699,1315318,50.000003814697266,2500,0,2,18,0
1602430293.771109,1317924,-820.0,2500,0,1,105,1
1602430301.887399,1320525,-760.0,2500,0,3,98,0
1602430309.824648,1323124,-740.0,2500,0,0,99,0
1602430317.835129,1325695,-460.0,2500,0,1,70,0
1602430327.4677918,1328804,-5840.0,2500,0,3,606,0
1602430334.2428422,1331342,-130.0,2500,0,1,37,0
1602430341.122206,1334026,-1590.0,2500,0,8,176,0
1602430347.56372,1336591,-400.0,2500,0,2,63,0
1602430353.804532,1339125,-90.0,2500,0,1,33,0
1602430360.2967548,1341649,10.000003814697266,2500,0,2,22,0
1602430366.730386,1344163,100.00000762939453,2500,0,1,13,1
1602430373.277369,1346782,-1240.300048828125,2497,3,3,116,0
1602430380.532035,1349293,80.00000762939453,2500,0,0,11,6
1602430387.949713,1351825,-330.1999816894531,2498,2,1,31,6
1602430394.7920241,1354330,-100.19999694824219,2498,2,2,3,10
1602430401.663199,1356884,-540.2000122070312,2498,2,3,51,5
1602430409.752417,1359496,-870.0,2500,0,0,112,0
1602430416.9485781,1362031,-500.3999938964844,2496,4,2,33,0
1602430424.161011,1364534,190.0,2500,0,0,3,3
1602430431.7585568,1367055,-440.29998779296875,2497,3,2,19,18
1602430439.2800179,1369602,-720.5,2495,5,1,46,0
